"title","description","rating","year","tags","cover"
"Salad Days (Tang LiuZang) - Part 2","The second season of Salad Days (Tang LiuZang).",4.7,2021,"['BL', 'Manhua', 'Romance', 'Shounen-ai', 'Sports', 'Webtoons', 'Full Color']","https://cdn.anime-planet.com/manga/primary/salad-days-tang-liuzang-part-2-1-285x399.jpg?t=1638084843"
"The Master of Diabolism","As the grandmaster who founded the Demonic Sect, Wei WuXian roamed the world in his wanton ways, hated by millions for the chaos he created. In the end, he was back-stabbed by his dearest shidi and killed by powerful clans that combined to overpower him. He incarnates into the body of a lunatic who was abandoned by his clan and is later, unwillingly, taken away by a famous cultivator among the clans—Lan WangJi, his archenemy.",4.7,2017,"['Action', 'Adventure', 'BL', 'Comedy', 'Manhua', 'Mystery', 'Romance', 'Shounen-ai', 'Ancient China', 'Cultivation', 'Martial Arts', 'Supernatural', 'Xianxia', 'Mature Themes', 'Suicide', 'Violence', 'Based on a Web Novel']","https://cdn.anime-planet.com/manga/primary/the-master-of-diabolism-1-190x252.jpg?t=1625917239"
"JoJo's Bizarre Adventure Part 7: Steel Ball Run","Set in 1890, Steel Ball Run spotlights Gyro Zepelli and Johnny Joestar as they pit their spirits on a Fifty Million Dollar race across the heart of America. Their track quickly becomes a no-rules land as the racers' dreams collide and only human will spurs them on. But there is more to this race than any contestant realized and each of them soon grasps the real size of their world.",4.7,2004,"['Action', 'Adventure', 'Horror', 'Mystery', 'Seinen', '19th Century', 'America', 'Historical']","https://cdn.anime-planet.com/manga/primary/jojos-bizarre-adventure-part-7-steel-ball-run-1-185x300.jpg?t=1625909521"
"A Sign of Affection","Yuki is a typical college student, whose world revolves around her friends, social media, and the latest sales. But when a chance encounter on a train leads to her meeting friend-of-a-friend and fellow student Itsuomi-san, her world starts to widen. But even though Itsuomi-kun can speak three languages, sign language isn’t one of them. Can the two learn to communicate the budding feelings between them?",4.7,2019,"['Romance', 'Shoujo', 'Slice of Life', 'Disability']","https://cdn.anime-planet.com/manga/primary/a-sign-of-affection-1-190x285.jpg?t=1625922916"
"Moriarty the Patriot","Before he was Sherlock’s rival, Moriarty fought against the unfair class caste system in London by making sure corrupt nobility got their comeuppance. But even the best-intentioned plans can spin out of control—will Moriarty’s dream of a more just and equal world turn him into a hero…or a monster?",4.7,2016,"['Mystery', 'Shounen', 'Detectives', 'England', 'Europe', 'Historical', 'Sherlock Holmes', 'Adapted to Anime', 'Based on a Novel']","https://cdn.anime-planet.com/manga/primary/moriarty-the-patriot-1-190x285.jpg?t=1625916116"
"Classroom of the Elite (Light Novel)","At the prestigious Tokyo Metropolitan Advanced Nurturing High School, which aims to produce the country’s future leaders, students are given remarkable freedom. However, they also have to deal with a point system that decides one’s place in the school’s hierarchy! Ayanokoji Kiyotaka has landed at the bottom in the scorned Class D, where he meets Horikita Suzune, who’s determined to work her way back up to Class A, and Kushida Kikyo, who seems like she only wants to make friends. Can they advance through this school where cutthroat competition is the name of the game?",4.7,2015,"['Comedy', 'Drama', 'Ecchi', 'Harem', 'Light Novels', 'Romance', 'Boarding School', 'School Life', 'Adapted to Anime']","https://cdn.anime-planet.com/manga/primary/classroom-of-the-elite-light-novel-1-285x403.jpg?t=1630446924"
"Who Made Me a Princess","The beautiful Athanasia was killed at the hands of her own biological father, Claude de Alger Obelia, the cold-blooded emperor! It’s just a silly bedtime story… until one woman wakes up to suddenly find she’s become that unfortunate princess! She needs a plan to survive her doomed fate, and time is running out. Will she go with Plan A, live as quietly as possible without being noticed by the infamous emperor? Plan B, collect enough money to escape the palace? Or will she be stuck with plan C, sweet-talking her way into her father’s good graces?!",4.7,2017,"['Fantasy', 'Manhwa', 'Romance', 'Slice of Life', 'Webtoons', 'Full Color', 'Isekai', 'Magic', 'Person in a Strange World', 'Political', 'Reincarnation', 'Royalty', 'Based on a Web Novel']","https://cdn.anime-planet.com/manga/primary/who-made-me-a-princess-1-190x266.jpg?t=1625919708"
"Demon Slayer: Kimetsu no Yaiba","The setting is Taisho era Japan. Tanjirou is a kindhearted young boy who lived peacefully with his family as a coal seller. Their normal life changes completely when his family is slaughtered by demons. The only other survivor, Tanjirou's younger sister Nezuko, has become a ferocious demon. In order to return Nezuko to normal and get revenge on the demon that killed their family, the two of them depart on a journey. From a young talent, an adventure tale of blood and swords begins!",4.7,2016,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Death of a Loved One', 'Demons', 'Historical', 'Martial Arts', 'Orphans', 'Siblings', 'Explicit Violence', 'Adapted to Anime']","https://cdn.anime-planet.com/manga/primary/demon-slayer-kimetsu-no-yaiba-1-285x428.jpg?t=1634713702"
"Omniscient Reader (Novel)","One day, our MC finds himself stuck in the world of his favorite web novel. What should he do to survive? It's a world struck by catastrophe and danger all around. His edge? He knows the plot of the story to end, because he was the sole reader that stuck with it. ",4.7,2018,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Manhwa', 'Web Novels', 'Cheats', 'High Stakes Games', 'Martial Arts', 'Play or Die', 'Psychological', 'Urban Fantasy']","https://cdn.anime-planet.com/manga/primary/omniscient-reader-novel-1-190x266.jpg?t=1625919886"
"Omniscient Reader","Back then, Dokja had no idea. He had no idea his favorite web novel 'Three Ways to Survive the Apocalypse' was going to come to life, and that he would become the only person to know how the world was going to end. He also had no idea he would end up becoming the protagonist of this novel-turned-reality. Now, Dokja will go on a journey to change the course of the story and save humankind once and for all.",4.7,2020,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Manhwa', 'Webtoons', 'Cheats', 'Full Color', 'High Stakes Games', 'Play or Die', 'Psychological', 'PVE', 'PVP', 'RPG', 'Survival', 'Urban Fantasy', 'Explicit Violence', 'Based on a Web Novel']","https://cdn.anime-planet.com/manga/primary/omniscient-reader-1-285x409.jpg?t=1628025756"
